LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC000002,Std,2012-10-12 00:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 01:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 01:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 02:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 02:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 03:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 03:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 04:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 04:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 05:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 05:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 06:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 06:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 07:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 07:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 08:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 08:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 09:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 09:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 10:00:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 10:30:00.0000000, 0 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 11:30:00.0000000, 0.143 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 12:00:00.0000000, 0.663 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 12:30:00.0000000, 0.256 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 13:00:00.0000000, 0.155 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 13:30:00.0000000, 0.199 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 14:00:00.0000000, 0.125 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 14:30:00.0000000, 0.165 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 15:00:00.0000000, 0.14 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 15:30:00.0000000, 0.148 ,ACORN-A,Affluent
MAC000002,Std,2012-10-12 16:00:00.0000000, 0.154 ,ACORN-A,Affluent
